Time,Node Power (W),IB Switch Power AC estimated (W),Total Power (W)
2023-04-28 22:08:19,192814,2470,195284
2023-04-28 22:08:20,192333,2470,194803
2023-04-28 22:08:21,192629,2470,195099
2023-04-28 22:08:22,193369,2470,195839
2023-04-28 22:08:23,193073,2470,195543
2023-04-28 22:08:24,192925,2470,195395
2023-04-28 22:08:25,192851,2470,195321
2023-04-28 22:08:26,193480,2470,195950
2023-04-28 22:08:27,193886,2470,196356
2023-04-28 22:08:29,193295,2470,195765
2023-04-28 22:08:29,192962,2470,195432
2023-04-28 22:08:30,192112,2470,194582
2023-04-28 22:08:31,192592,2470,195062
2023-04-28 22:08:32,193923,2470,196393
2023-04-28 22:08:33,194774,2470,197244
2023-04-28 22:08:34,194811,2470,197281
2023-04-28 22:08:35,194515,2470,196985
2023-04-28 22:08:36,194478,2470,196948
2023-04-28 22:08:37,194885,2470,197355
2023-04-28 22:08:38,194958,2470,197428
2023-04-28 22:08:39,195032,2470,197502
2023-04-28 22:08:40,195143,2470,197613
2023-04-28 22:08:41,194811,2470,197281
2023-04-28 22:08:42,195217,2470,197687
2023-04-28 22:08:43,196142,2470,198612
2023-04-28 22:08:44,195698,2470,198168
2023-04-28 22:08:45,195291,2470,197761
2023-04-28 22:08:46,194700,2470,197170
2023-04-28 22:08:47,195291,2470,197761
2023-04-28 22:08:48,195661,2470,198131
2023-04-28 22:08:49,196770,2470,199240
2023-04-28 22:08:50,196696,2470,199166
2023-04-28 22:08:51,196216,2470,198686
2023-04-28 22:08:52,196400,2470,198870
2023-04-28 22:08:53,196696,2470,199166
2023-04-28 22:08:54,196955,2470,199425
2023-04-28 22:08:55,196290,2470,198760
2023-04-28 22:08:56,195217,2470,197687
2023-04-28 22:08:57,195217,2470,197687
2023-04-28 22:08:58,196105,2470,198575
2023-04-28 22:08:59,196770,2470,199240
2023-04-28 22:09:00,195143,2470,197613
2023-04-28 22:09:01,195402,2470,197872
2023-04-28 22:09:03,195587,2470,198057
2023-04-28 22:09:03,195624,2470,198094
2023-04-28 22:09:05,195883,2470,198353
2023-04-28 22:09:05,195402,2470,197872
2023-04-28 22:09:06,193332,2470,195802
2023-04-28 22:09:07,193701,2470,196171
2023-04-28 22:09:08,193406,2470,195876
2023-04-28 22:09:09,193184,2470,195654
2023-04-28 22:09:10,192925,2470,195395
2023-04-28 22:09:11,193147,2470,195617
2023-04-28 22:09:12,192629,2470,195099
