timestamp,barnard.hpc.energy
2023-05-12T07:13:41.280394+00:00,1124005530821.76
2023-05-12T07:13:42.280853+00:00,1124006011058.52
2023-05-12T07:13:43.280649+00:00,1124006587781.4
2023-05-12T07:13:44.281077+00:00,1124007133891.68
2023-05-12T07:13:45.280304+00:00,1124007655156.56
2023-05-12T07:13:46.280542+00:00,1124008063722.0
2023-05-12T07:13:47.280150+00:00,1124008674846.48
2023-05-12T07:13:48.280553+00:00,1124009220801.5999
2023-05-12T07:13:49.279628+00:00,1124009754422.04
2023-05-12T07:13:50.280217+00:00,1124010313031.52
2023-05-12T07:13:51.280389+00:00,1124010859407.12
2023-05-12T07:13:52.280245+00:00,1124011404415.08
2023-05-12T07:13:53.280342+00:00,1124011946160.72
2023-05-12T07:13:54.280235+00:00,1124012490358.3198
2023-05-12T07:13:55.280732+00:00,1124013036227.4
2023-05-12T07:13:56.280991+00:00,1124013518945.28
2023-05-12T07:13:57.280460+00:00,1124014100494.32
2023-05-12T07:13:58.281060+00:00,1124014646863.08
2023-05-12T07:13:59.280769+00:00,1124015191623.0
2023-05-12T07:14:00.280677+00:00,1124015642666.6401
2023-05-12T07:14:01.280832+00:00,1124016236025.1199
2023-05-12T07:14:02.281037+00:00,1124016782122.44
2023-05-12T07:14:03.280267+00:00,1124017310410.56
2023-05-12T07:14:04.280828+00:00,1124017834823.64
2023-05-12T07:14:05.279464+00:00,1124018384303.1602
2023-05-12T07:14:06.280190+00:00,1124018929953.0
2023-05-12T07:14:07.280612+00:00,1124019410038.92
2023-05-12T07:14:08.280617+00:00,1124019969893.28
2023-05-12T07:14:09.280375+00:00,1124020512090.0
2023-05-12T07:14:10.280672+00:00,1124021057031.0
2023-05-12T07:14:11.280109+00:00,1124021564669.16
2023-05-12T07:14:12.280262+00:00,1124022132688.3198
2023-05-12T07:14:13.280877+00:00,1124022678592.68
2023-05-12T07:14:14.280368+00:00,1124023206176.28
2023-05-12T07:14:15.280171+00:00,1124023746221.28
2023-05-12T07:14:16.280152+00:00,1124024288315.4
2023-05-12T07:14:17.280613+00:00,1124024833881.3599
2023-05-12T07:14:18.280287+00:00,1124025301288.44
2023-05-12T07:14:19.281049+00:00,1124025888079.8
2023-05-12T07:14:20.280560+00:00,1124026444083.96
2023-05-12T07:14:21.279820+00:00,1124026988636.52
2023-05-12T07:14:22.280104+00:00,1124027494113.6
2023-05-12T07:14:23.280995+00:00,1124028059781.6
2023-05-12T07:14:24.280989+00:00,1124028605721.96
2023-05-12T07:14:25.280094+00:00,1124029116973.08
2023-05-12T07:14:26.280839+00:00,1124029672835.04
2023-05-12T07:14:27.280827+00:00,1124030217146.04
2023-05-12T07:14:28.280877+00:00,1124030762538.48
2023-05-12T07:14:29.280101+00:00,1124031259192.32
2023-05-12T07:14:30.280631+00:00,1124031830999.4
2023-05-12T07:14:31.280434+00:00,1124032377098.16
2023-05-12T07:14:32.280866+00:00,1124032900881.5999
2023-05-12T07:14:33.280884+00:00,1124033439965.4
2023-05-12T07:14:34.280608+00:00,1124033982729.48
2023-05-12T07:14:35.280210+00:00,1124034528381.48
2023-05-12T07:14:36.280568+00:00,1124035001414.6401
2023-05-12T07:14:37.279507+00:00,1124035592080.32
2023-05-12T07:14:38.281002+00:00,1124036138348.28
2023-05-12T07:14:39.280518+00:00,1124036680496.4
2023-05-12T07:14:40.280787+00:00,1124037131483.16
2023-05-12T07:14:41.280597+00:00,1124037722153.52
2023-05-12T07:14:42.280754+00:00,1124038268143.92
2023-05-12T07:14:43.280281+00:00,1124038790008.92
2023-05-12T07:14:44.280889+00:00,1124039296220.76
2023-05-12T07:14:45.279628+00:00,1124039857036.68
2023-05-12T07:14:46.280142+00:00,1124040402927.72
2023-05-12T07:14:47.280678+00:00,1124040889601.64
2023-05-12T07:14:48.280500+00:00,1124041463983.08
2023-05-12T07:14:49.280478+00:00,1124042009882.76
2023-05-12T07:14:50.280530+00:00,1124042555081.16
2023-05-12T07:14:51.280272+00:00,1124043048510.1199
2023-05-12T07:14:52.279893+00:00,1124043628739.76
2023-05-12T07:14:53.279290+00:00,1124044174803.6
2023-05-12T07:14:54.280130+00:00,1124044690109.04
2023-05-12T07:14:55.280051+00:00,1124045239973.4001
2023-05-12T07:14:56.280124+00:00,1124045781161.4
2023-05-12T07:14:57.280503+00:00,1124046326824.2
2023-05-12T07:14:58.280367+00:00,1124046774171.3599
2023-05-12T07:14:59.280707+00:00,1124047369433.1602
2023-05-12T07:15:00.280769+00:00,1124047914258.96
2023-05-12T07:15:01.280902+00:00,1124048459167.5598
2023-05-12T07:15:02.280791+00:00,1124048942898.1199
2023-05-12T07:15:03.280540+00:00,1124049516544.08
2023-05-12T07:15:04.280158+00:00,1124050062593.88
2023-05-12T07:15:05.281047+00:00,1124050579409.52
2023-05-12T07:15:06.280242+00:00,1124051131733.04
2023-05-12T07:15:07.280997+00:00,1124051675475.24
2023-05-12T07:15:08.280681+00:00,1124052220811.1602
2023-05-12T07:15:09.280016+00:00,1124052697394.64
2023-05-12T07:15:10.280944+00:00,1124053283965.32
2023-05-12T07:15:11.280815+00:00,1124053830141.48
2023-05-12T07:15:12.280106+00:00,1124054361730.44
2023-05-12T07:15:13.280014+00:00,1124054894999.8801
2023-05-12T07:15:14.280085+00:00,1124055439524.36
2023-05-12T07:15:15.279786+00:00,1124055985590.36
2023-05-12T07:15:16.280512+00:00,1124056460433.24
2023-05-12T07:15:17.280431+00:00,1124057048365.08
2023-05-12T07:15:18.280224+00:00,1124057594920.3198
2023-05-12T07:15:19.280603+00:00,1124058139384.3198
2023-05-12T07:15:20.280903+00:00,1124058655101.24
2023-05-12T07:15:21.280489+00:00,1124059208070.96
2023-05-12T07:15:22.280253+00:00,1124059754198.52
2023-05-12T07:15:23.280936+00:00,1124060251826.16
2023-05-12T07:15:24.280812+00:00,1124060817780.72
2023-05-12T07:15:25.279807+00:00,1124061363177.12
2023-05-12T07:15:26.280604+00:00,1124061908665.32
2023-05-12T07:15:27.280422+00:00,1124062353523.44
2023-05-12T07:15:28.280307+00:00,1124062953827.04
2023-05-12T07:15:29.280571+00:00,1124063500365.0
2023-05-12T07:15:30.280563+00:00,1124064034477.56
2023-05-12T07:15:31.280034+00:00,1124064513423.0
2023-05-12T07:15:32.280869+00:00,1124065088819.64
2023-05-12T07:15:33.280342+00:00,1124065635093.72
2023-05-12T07:15:34.280617+00:00,1124066140722.72
2023-05-12T07:15:35.280170+00:00,1124066657471.7598
2023-05-12T07:15:36.280960+00:00,1124067215409.48
2023-05-12T07:15:37.280475+00:00,1124067761636.04
2023-05-12T07:15:38.280819+00:00,1124068259326.6802
2023-05-12T07:15:39.280968+00:00,1124068837972.68
2023-05-12T07:15:40.280742+00:00,1124069384461.32
