time,power
2021-05-27T14:33:20+00:00,186064.0
2021-05-27T14:33:21+00:00,185856.0
2021-05-27T14:33:22+00:00,186108.0
2021-05-27T14:33:23+00:00,187166.0
2021-05-27T14:33:24+00:00,186858.0
2021-05-27T14:33:25+00:00,187567.0
2021-05-27T14:33:26+00:00,187735.0
2021-05-27T14:33:27+00:00,187909.0
2021-05-27T14:33:28+00:00,187746.0
2021-05-27T14:33:29+00:00,188382.0
2021-05-27T14:33:30+00:00,188098.0
2021-05-27T14:33:31+00:00,187878.0
2021-05-27T14:33:32+00:00,187611.0
2021-05-27T14:33:33+00:00,188739.0
2021-05-27T14:33:34+00:00,188191.0
2021-05-27T14:33:35+00:00,189259.0
2021-05-27T14:33:36+00:00,189253.0
2021-05-27T14:33:37+00:00,189610.0
2021-05-27T14:33:38+00:00,189049.0
2021-05-27T14:33:39+00:00,189386.0
2021-05-27T14:33:40+00:00,189202.0
2021-05-27T14:33:41+00:00,189499.0
2021-05-27T14:33:42+00:00,189103.0
2021-05-27T14:33:43+00:00,190398.0
2021-05-27T14:33:44+00:00,190027.0
2021-05-27T14:33:45+00:00,190626.0
2021-05-27T14:33:46+00:00,190479.0
2021-05-27T14:33:47+00:00,191215.0
2021-05-27T14:33:48+00:00,190701.0
2021-05-27T14:33:49+00:00,190785.0
2021-05-27T14:33:50+00:00,190606.0
2021-05-27T14:33:51+00:00,190920.0
2021-05-27T14:33:52+00:00,190275.0
2021-05-27T14:33:53+00:00,191168.0
2021-05-27T14:33:54+00:00,191020.0
2021-05-27T14:33:55+00:00,191195.0
2021-05-27T14:33:56+00:00,191077.0
2021-05-27T14:33:57+00:00,191434.0
2021-05-27T14:33:58+00:00,190802.0
2021-05-27T14:33:59+00:00,191286.0
2021-05-27T14:34:00+00:00,190996.0
2021-05-27T14:34:01+00:00,191588.0
2021-05-27T14:34:02+00:00,191135.0
2021-05-27T14:34:03+00:00,191412.0
2021-05-27T14:34:04+00:00,191298.0
2021-05-27T14:34:05+00:00,191373.0
2021-05-27T14:34:06+00:00,191170.0
2021-05-27T14:34:07+00:00,191138.0
2021-05-27T14:34:08+00:00,191085.0
2021-05-27T14:34:09+00:00,191284.0
2021-05-27T14:34:10+00:00,191503.0
2021-05-27T14:34:11+00:00,192024.0
2021-05-27T14:34:12+00:00,192244.0
2021-05-27T14:34:13+00:00,191869.0
2021-05-27T14:34:14+00:00,192519.0
2021-05-27T14:34:15+00:00,191604.0
2021-05-27T14:34:16+00:00,192517.0
2021-05-27T14:34:17+00:00,191641.0
2021-05-27T14:34:18+00:00,192325.0
2021-05-27T14:34:19+00:00,191994.0
2021-05-27T14:34:20+00:00,192400.0
2021-05-27T14:34:21+00:00,191901.0
2021-05-27T14:34:22+00:00,191982.0
2021-05-27T14:34:23+00:00,192147.0
2021-05-27T14:34:24+00:00,191787.0
2021-05-27T14:34:25+00:00,192374.0
2021-05-27T14:34:26+00:00,191939.0
2021-05-27T14:34:27+00:00,192360.0
2021-05-27T14:34:28+00:00,191711.0
2021-05-27T14:34:29+00:00,192025.0
2021-05-27T14:34:30+00:00,192059.0
2021-05-27T14:34:31+00:00,191978.0
2021-05-27T14:34:32+00:00,191623.0
2021-05-27T14:34:33+00:00,191357.0
2021-05-27T14:34:34+00:00,192323.0
2021-05-27T14:34:35+00:00,191857.0
2021-05-27T14:34:36+00:00,191710.0
2021-05-27T14:34:37+00:00,191587.0
2021-05-27T14:34:38+00:00,191788.0
2021-05-27T14:34:39+00:00,191786.0
2021-05-27T14:34:40+00:00,191533.0
2021-05-27T14:34:41+00:00,191802.0
2021-05-27T14:34:42+00:00,191956.0
2021-05-27T14:34:43+00:00,192025.0
2021-05-27T14:34:44+00:00,191656.0
2021-05-27T14:34:45+00:00,191747.0
2021-05-27T14:34:46+00:00,191851.0
2021-05-27T14:34:47+00:00,191734.0
2021-05-27T14:34:48+00:00,191890.0
2021-05-27T14:34:49+00:00,191413.0
2021-05-27T14:34:50+00:00,191790.0
2021-05-27T14:34:51+00:00,191300.0
2021-05-27T14:34:52+00:00,191193.0
2021-05-27T14:34:53+00:00,190672.0
2021-05-27T14:34:54+00:00,190301.0
2021-05-27T14:34:55+00:00,190942.0
2021-05-27T14:34:56+00:00,190681.0
2021-05-27T14:34:57+00:00,190807.0
2021-05-27T14:34:58+00:00,189908.0
2021-05-27T14:34:59+00:00,190911.0
2021-05-27T14:35:00+00:00,190688.0
2021-05-27T14:35:01+00:00,190819.0
2021-05-27T14:35:02+00:00,192014.0
2021-05-27T14:35:03+00:00,191098.0
2021-05-27T14:35:04+00:00,191091.0
2021-05-27T14:35:05+00:00,191736.0
2021-05-27T14:35:06+00:00,190334.0
2021-05-27T14:35:07+00:00,191152.0
2021-05-27T14:35:08+00:00,190698.0
2021-05-27T14:35:09+00:00,190522.0
2021-05-27T14:35:10+00:00,190815.0
2021-05-27T14:35:11+00:00,190269.0
2021-05-27T14:35:12+00:00,190286.0
2021-05-27T14:35:13+00:00,189789.0
2021-05-27T14:35:14+00:00,189953.0
2021-05-27T14:35:15+00:00,190609.0
2021-05-27T14:35:16+00:00,190031.0
2021-05-27T14:35:17+00:00,189618.0
2021-05-27T14:35:18+00:00,189511.0
2021-05-27T14:35:19+00:00,189647.0
2021-05-27T14:35:20+00:00,189833.0
2021-05-27T14:35:21+00:00,189189.0
2021-05-27T14:35:22+00:00,189010.0
2021-05-27T14:35:23+00:00,189296.0
2021-05-27T14:35:24+00:00,189254.0
2021-05-27T14:35:25+00:00,189186.0
2021-05-27T14:35:26+00:00,188393.0
2021-05-27T14:35:27+00:00,188453.0
2021-05-27T14:35:28+00:00,188709.0
2021-05-27T14:35:29+00:00,188588.0
2021-05-27T14:35:30+00:00,188646.0
2021-05-27T14:35:31+00:00,188826.0
2021-05-27T14:35:32+00:00,187326.0
2021-05-27T14:35:33+00:00,188169.0
2021-05-27T14:35:34+00:00,188105.0
2021-05-27T14:35:35+00:00,188296.0
2021-05-27T14:35:36+00:00,187989.0
2021-05-27T14:35:37+00:00,187295.0
2021-05-27T14:35:38+00:00,187676.0
2021-05-27T14:35:39+00:00,188373.0
2021-05-27T14:35:40+00:00,187445.0
2021-05-27T14:35:41+00:00,187141.0
2021-05-27T14:35:42+00:00,187633.0
2021-05-27T14:35:43+00:00,187032.0
2021-05-27T14:35:44+00:00,186510.0
2021-05-27T14:35:45+00:00,186897.0
2021-05-27T14:35:46+00:00,186982.0
2021-05-27T14:35:47+00:00,186458.0
2021-05-27T14:35:48+00:00,185885.0
2021-05-27T14:35:49+00:00,186299.0
2021-05-27T14:35:50+00:00,185922.0
2021-05-27T14:35:51+00:00,186444.0
2021-05-27T14:35:52+00:00,185665.0
2021-05-27T14:35:53+00:00,185691.0
2021-05-27T14:35:54+00:00,185650.0
2021-05-27T14:35:55+00:00,185866.0
2021-05-27T14:35:56+00:00,184638.0
2021-05-27T14:35:57+00:00,185044.0
2021-05-27T14:35:58+00:00,185372.0
